Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1766626375.813514,2248028,3,0
1,NewOrder,1766626375.821838,2239662,0,0
2,Payment,1766626375.821922,2237107,1,0
1,NewOrder,1766626375.821939,2237561,2,0
1,NewOrder,1766626375.821947,2269404,1,0
1,NewOrder,1766626375.821963,2278665,0,0
1,NewOrder,1766626375.821976,2278593,2,0
1,NewOrder,1766626375.822010,2286513,3,0
1,NewOrder,1766626375.822018,2297582,1,0
1,NewOrder,1766626375.822032,2309348,0,0
1,NewOrder,1766626375.822038,2305043,2,0
1,NewOrder,1766626375.822046,2307672,3,0
2,Payment,1766626375.822070,2332610,1,0
2,Payment,1766626375.822085,2368569,2,0
2,Payment,1766626375.822086,2334425,3,0
2,Payment,1766626375.822109,2334474,0,0
5,StockLevel,1766626375.822155,2363421,1,0
2,Payment,1766626375.822173,2350943,3,0
2,Payment,1766626375.822186,2355118,0,0
2,Payment,1766626375.822186,2368269,3,0
1,NewOrder,1766626375.822192,2390940,0,0
2,Payment,1766626375.822215,2381337,1,0
1,NewOrder,1766626375.822228,2410289,3,0
5,StockLevel,1766626375.822244,2375009,2,0
3,OrderStatus,1766626375.822257,2415754,2,0
1,NewOrder,1766626375.822317,2415223,1,0
2,Payment,1766626375.822324,2413248,0,0
2,Payment,1766626375.822352,2425668,3,0
2,Payment,1766626375.822379,2428621,0,0
1,NewOrder,1766626375.822388,2445408,1,0
1,NewOrder,1766626375.822397,2439343,2,0
1,NewOrder,1766626375.822433,2468482,3,0
1,NewOrder,1766626375.822445,2451444,0,0
1,NewOrder,1766626375.822459,2465232,2,0
1,NewOrder,1766626375.822508,2487729,0,0
1,NewOrder,1766626375.822508,2484129,1,0
2,Payment,1766626375.822508,2481589,2,0
2,Payment,1766626375.822537,2515959,3,0
2,Payment,1766626375.822554,2612998,2,0
1,NewOrder,1766626375.824673,2505357,1,0
2,Payment,1766626375.824697,2499667,0,0
1,NewOrder,1766626375.826720,2534959,0,0
2,Payment,1766626375.826741,2522104,1,0
2,Payment,1766626375.826774,2528224,3,0
2,Payment,1766626375.829673,2536514,1,0
1,NewOrder,1766626375.829745,2560179,0,0
2,Payment,1766626375.829745,2540405,3,0
1,NewOrder,1766626375.831612,2562388,1,0
2,Payment,1766626375.832723,2573706,0,0
1,NewOrder,1766626375.832723,2565382,3,0
1,NewOrder,1766626375.834206,2595850,1,0
2,Payment,1766626375.836015,2578344,3,0
2,Payment,1766626375.836039,2586284,0,0
1,NewOrder,1766626375.839898,2649385,3,0
1,NewOrder,1766626375.839929,2731427,0,0
2,Payment,1766626375.839942,2732098,1,0
1,NewOrder,1766626375.839958,2731359,2,0
2,Payment,1766626375.842901,2786132,3,0
2,Payment,1766626375.842927,2787692,2,0
2,Payment,1766626375.842939,2787578,0,0
3,OrderStatus,1766626375.845994,2735836,1,0
1,NewOrder,1766626375.846012,2783769,1,0
1,NewOrder,1766626375.846012,2807552,3,0
1,NewOrder,1766626375.847906,2804352,1,0
1,NewOrder,1766626375.847923,2810031,0,0
1,NewOrder,1766626375.849912,2803789,2,0
1,NewOrder,1766626375.849930,2824520,1,0
1,NewOrder,1766626375.852016,2833852,3,0
5,StockLevel,1766626375.852097,2806698,2,0
2,Payment,1766626375.853972,2817223,0,0
2,Payment,1766626375.853994,2815849,2,0
1,NewOrder,1766626375.856967,2836901,2,0
1,NewOrder,1766626375.856987,2843357,0,0
1,NewOrder,1766626375.856998,2852880,1,0
1,NewOrder,1766626375.858813,2865179,3,0
1,NewOrder,1766626375.858851,2867304,2,0
2,Payment,1766626375.861725,2851933,0,0
1,NewOrder,1766626375.861749,2881876,1,0
1,NewOrder,1766626375.861839,2876162,0,0
2,Payment,1766626375.863804,2877974,3,0
2,Payment,1766626375.863819,2877709,2,0
1,NewOrder,1766626375.866460,2900112,0,0
1,NewOrder,1766626375.866493,2894483,2,0
1,NewOrder,1766626375.869591,2899781,3,0
1,NewOrder,1766626375.869618,2899755,1,0
1,NewOrder,1766626375.869631,2912513,2,0
1,NewOrder,1766626375.871568,2934596,0,0
2,Payment,1766626375.871594,2913730,1,0
2,Payment,1766626375.874550,2910755,3,0
1,NewOrder,1766626375.874571,2931587,2,0
2,Payment,1766626375.874586,2926310,3,0
2,Payment,1766626375.876513,2930158,1,0
1,NewOrder,1766626375.876633,2947780,3,0
1,NewOrder,1766626375.878717,2955256,2,0
1,NewOrder,1766626375.878987,2951139,0,0
1,NewOrder,1766626375.879047,2959838,1,0
3,OrderStatus,1766626375.881503,2947381,3,0
2,Payment,1766626375.881519,2964592,3,0
5,StockLevel,1766626375.884542,2949710,0,0
5,StockLevel,1766626375.884570,2955120,2,0
2,Payment,1766626375.884592,2965591,0,0
3,OrderStatus,1766626375.887212,2955183,1,0
5,StockLevel,1766626375.887226,2957223,2,0
2,Payment,1766626375.887249,2969972,1,0
1,NewOrder,1766626375.890219,2981613,2,0
1,NewOrder,1766626375.890252,2989165,3,0
4,Delivery,1766626375.890274,3093559,0,0
1,NewOrder,1766626375.892162,2990994,1,0
1,NewOrder,1766626375.892176,3010669,2,0
2,Payment,1766626375.895228,3004944,3,0
1,NewOrder,1766626375.895251,3015161,1,0
2,Payment,1766626375.895263,3033070,3,0
5,StockLevel,1766626375.896882,3009607,2,0
1,NewOrder,1766626375.896902,3046333,2,0
1,NewOrder,1766626375.898891,3044577,1,0
2,Payment,1766626375.898908,3046084,3,0
1,NewOrder,1766626375.900155,3081814,2,0
1,NewOrder,1766626375.902112,3073260,1,0
2,Payment,1766626375.902298,3068143,3,0
2,Payment,1766626375.904838,3078814,3,0
2,Payment,1766626375.904862,3081736,1,0
2,Payment,1766626375.904875,3093257,2,0
2,Payment,1766626375.906866,3092250,3,0
2,Payment,1766626375.906952,3088302,0,0
3,OrderStatus,1766626375.908868,3085515,1,0
1,NewOrder,1766626375.908876,3115754,1,0
1,NewOrder,1766626375.911849,3115089,0,0
2,Payment,1766626375.911866,3099854,2,0
2,Payment,1766626375.911880,3102087,3,0
2,Payment,1766626375.913947,3113569,2,0
1,NewOrder,1766626375.914053,3128188,3,0
4,Delivery,1766626375.916930,3204716,1,0
1,NewOrder,1766626375.916949,3145556,0,0
4,Delivery,1766626375.916963,3204689,2,0
2,Payment,1766626375.918890,3139938,3,0
2,Payment,1766626375.918912,3153432,3,0
2,Payment,1766626375.921885,3152918,0,0
1,NewOrder,1766626375.921895,3169622,3,0
2,Payment,1766626375.921909,3167507,0,0
2,Payment,1766626375.924879,3178648,0,0
1,NewOrder,1766626375.924894,3190023,3,0
1,NewOrder,1766626375.924906,3211702,0,0
1,NewOrder,1766626375.926907,3212798,3,0
4,Delivery,1766626375.926925,3274530,2,0
2,Payment,1766626375.929724,3204370,1,0
2,Payment,1766626375.929941,3221965,1,0
2,Payment,1766626375.929997,3221835,0,0
1,NewOrder,1766626375.932679,3239735,3,0
2,Payment,1766626375.932732,3230659,0,0
2,Payment,1766626375.932784,3233838,1,0
2,Payment,1766626375.934688,3244348,0,0
1,NewOrder,1766626375.936232,3261237,1,0
2,Payment,1766626375.936261,3249293,3,0
4,Delivery,1766626375.939261,3331275,0,0
1,NewOrder,1766626375.939287,3275936,3,0
5,StockLevel,1766626375.939295,3263280,1,0
1,NewOrder,1766626375.941258,3301420,2,0
1,NewOrder,1766626375.941282,3293417,1,0
1,NewOrder,1766626375.943327,3307388,3,0
1,NewOrder,1766626375.943343,3334144,1,0
1,NewOrder,1766626375.947333,3337940,2,0
2,Payment,1766626375.947356,3330869,3,0
1,NewOrder,1766626375.947370,3359301,0,0
2,Payment,1766626375.947384,3359846,1,0
2,Payment,1766626375.950294,3342981,3,0
1,NewOrder,1766626375.950315,3363644,2,0
3,OrderStatus,1766626375.950325,3348287,3,0
1,NewOrder,1766626375.952354,3375315,3,0
4,Delivery,1766626375.952390,3437220,0,0
5,StockLevel,1766626375.955313,3355366,1,0
1,NewOrder,1766626375.955330,3381353,1,0
2,Payment,1766626375.955341,3373986,2,0
5,StockLevel,1766626375.958331,3374470,3,0
3,OrderStatus,1766626375.958370,3377087,2,0
2,Payment,1766626375.958384,3389370,3,0
1,NewOrder,1766626375.959978,3405205,2,0
2,Payment,1766626375.960004,3391613,1,0
2,Payment,1766626375.962246,3396527,3,0
1,NewOrder,1766626375.962300,3419484,1,0
1,NewOrder,1766626375.964059,3420598,3,0
1,NewOrder,1766626375.964094,3431845,2,0
1,NewOrder,1766626375.968046,3433913,1,0
1,NewOrder,1766626375.968083,3436145,3,0
2,Payment,1766626375.968100,3436695,0,0
1,NewOrder,1766626375.968117,3455663,2,0
1,NewOrder,1766626375.970020,3460850,1,0
1,NewOrder,1766626375.970061,3458186,3,0
1,NewOrder,1766626375.973082,3452882,0,0
3,OrderStatus,1766626375.973124,3457284,2,0
1,NewOrder,1766626375.973143,3484559,0,0
2,Payment,1766626375.975060,3468448,3,0
2,Payment,1766626375.975075,3470627,2,0
2,Payment,1766626375.977999,3467711,1,0
2,Payment,1766626375.978013,3477162,3,0
1,NewOrder,1766626375.978108,3498693,1,0
1,NewOrder,1766626375.981065,3495816,2,0
2,Payment,1766626375.981110,3493168,3,0
1,NewOrder,1766626375.981117,3510018,0,0
2,Payment,1766626375.983095,3505512,3,0
2,Payment,1766626375.983140,3508591,1,0
1,NewOrder,1766626375.985266,3520822,2,0
1,NewOrder,1766626375.985289,3523800,3,0
1,NewOrder,1766626375.987665,3527365,0,0
2,Payment,1766626375.987770,3521828,1,0
5,StockLevel,1766626375.987892,3522123,2,0
4,Delivery,1766626375.990737,3601650,3,0
2,Payment,1766626375.990741,3530876,1,0
1,NewOrder,1766626375.990763,3542421,2,0
2,Payment,1766626375.992363,3535998,0,0
1,NewOrder,1766626375.995133,3552919,1,0
2,Payment,1766626375.995154,3547293,0,0
5,StockLevel,1766626375.995168,3541164,2,0
1,NewOrder,1766626375.997157,3571881,2,0
1,NewOrder,1766626375.997175,3575866,0,0
1,NewOrder,1766626375.999147,3573629,1,0
1,NewOrder,1766626375.999159,3592732,2,0
1,NewOrder,1766626376.001130,3605516,1,0
2,Payment,1766626376.001139,3587523,0,0
2,Payment,1766626376.003191,3600242,0,0
3,OrderStatus,1766626376.003207,3594080,2,0
2,Payment,1766626376.006168,3600848,3,0
3,OrderStatus,1766626376.006181,3594651,2,0
2,Payment,1766626376.006193,3608097,2,0
1,NewOrder,1766626376.008161,3624409,0,0
2,Payment,1766626376.008161,3613971,1,0
2,Payment,1766626376.009221,3616502,3,0
2,Payment,1766626376.011193,3618090,2,0
1,NewOrder,1766626376.011202,3632996,1,0
2,Payment,1766626376.013329,3627604,3,0
3,OrderStatus,1766626376.013419,3618472,2,0
2,Payment,1766626376.014873,3633882,2,0
5,StockLevel,1766626376.014978,3621397,0,0
1,NewOrder,1766626376.018891,3648489,0,0
2,Payment,1766626376.018903,3638001,3,0
2,Payment,1766626376.018915,3645141,1,0
2,Payment,1766626376.018928,3648904,2,0
1,NewOrder,1766626376.021982,3681187,3,0
1,NewOrder,1766626376.022025,3681223,1,0
2,Payment,1766626376.022160,3665867,0,0
1,NewOrder,1766626376.023579,3679682,2,0
2,Payment,1766626376.025583,3684764,0,0
1,NewOrder,1766626376.025601,3699297,3,0
1,NewOrder,1766626376.027365,3706679,1,0
1,NewOrder,1766626376.027384,3708211,2,0
4,Delivery,1766626376.029449,3761805,0,0
1,NewOrder,1766626376.029484,3716608,3,0
1,NewOrder,1766626376.031449,3723736,1,0
1,NewOrder,1766626376.031546,3731560,2,0
2,Payment,1766626376.033557,3728743,3,0
1,NewOrder,1766626376.033579,3752219,1,0
2,Payment,1766626376.036050,3736254,3,0
5,StockLevel,1766626376.036068,3731151,2,0
2,Payment,1766626376.036101,3744319,2,0
2,Payment,1766626376.038108,3750086,3,0
1,NewOrder,1766626376.038126,3762999,2,0
1,NewOrder,1766626376.040167,3772192,1,0
1,NewOrder,1766626376.040198,3767798,3,0
1,NewOrder,1766626376.041972,3775260,0,0
2,Payment,1766626376.041990,3773370,2,0
1,NewOrder,1766626376.045015,3788482,3,0
1,NewOrder,1766626376.045038,3790957,1,0
2,Payment,1766626376.045055,3781874,2,0
2,Payment,1766626376.047970,3783729,0,0
1,NewOrder,1766626376.048005,3798056,2,0
2,Payment,1766626376.048013,3796264,0,0
2,Payment,1766626376.050114,3796439,3,0
2,Payment,1766626376.050140,3799107,1,0
2,Payment,1766626376.053093,3802354,0,0
1,NewOrder,1766626376.053116,3815036,2,0
5,StockLevel,1766626376.053129,3797951,3,0
2,Payment,1766626376.054711,3811030,1,0
1,NewOrder,1766626376.054740,3816329,3,0
1,NewOrder,1766626376.055892,3821104,0,0
1,NewOrder,1766626376.057901,3845383,1,0
2,Payment,1766626376.057927,3825621,2,0
2,Payment,1766626376.060773,3832190,3,0
5,StockLevel,1766626376.060795,3820491,0,0
1,NewOrder,1766626376.060805,3845349,0,0
1,NewOrder,1766626376.063693,3852277,2,0
1,NewOrder,1766626376.063708,3858398,3,0
1,NewOrder,1766626376.063737,3861391,1,0
2,Payment,1766626376.065777,3859845,0,0
1,NewOrder,1766626376.065804,3869088,2,0
1,NewOrder,1766626376.068750,3887692,3,0
2,Payment,1766626376.068771,3870083,1,0
2,Payment,1766626376.068781,3876342,0,0
2,Payment,1766626376.072805,3878165,2,0
1,NewOrder,1766626376.072827,3887094,1,0
1,NewOrder,1766626376.072838,3897822,0,0
1,NewOrder,1766626376.072850,3904569,2,0
5,StockLevel,1766626376.074709,3885297,3,0
1,NewOrder,1766626376.074730,3919872,1,0
2,Payment,1766626376.078680,3895919,3,0
2,Payment,1766626376.078692,3909165,0,0
1,NewOrder,1766626376.078702,3927106,3,0
1,NewOrder,1766626376.080791,3929089,2,0
2,Payment,1766626376.080813,3921563,0,0
1,NewOrder,1766626376.080830,3949035,1,0
1,NewOrder,1766626376.084362,3941498,0,0
2,Payment,1766626376.084372,3938160,3,0
1,NewOrder,1766626376.084391,3949659,2,0
1,NewOrder,1766626376.086096,3972529,3,0
1,NewOrder,1766626376.086112,3972557,0,0
5,StockLevel,1766626376.087478,3946659,1,0
5,StockLevel,1766626376.088941,3948296,2,0
1,NewOrder,1766626376.088965,3977449,1,0
2,Payment,1766626376.091992,3962604,2,0
2,Payment,1766626376.092017,3987141,2,0
2,Payment,1766626376.092036,3987144,3,0
2,Payment,1766626376.093919,3981507,0,0
2,Payment,1766626376.093943,3989119,1,0
2,Payment,1766626376.096066,3995751,0,0
2,Payment,1766626376.096088,3999731,2,0
1,NewOrder,1766626376.098011,4005422,3,0
1,NewOrder,1766626376.098025,4013574,1,0
1,NewOrder,1766626376.100071,4051103,0,0
1,NewOrder,1766626376.100087,4113395,2,0
2,Payment,1766626376.104110,4047884,3,0
2,Payment,1766626376.104127,4110175,1,0
1,NewOrder,1766626376.104153,4152197,0,0
1,NewOrder,1766626376.104172,4152217,3,0
1,NewOrder,1766626376.106028,4205808,2,0
2,Payment,1766626376.106077,4206489,1,0
4,Delivery,1766626376.108004,4217120,0,0
2,Payment,1766626376.108024,4206013,3,0
2,Payment,1766626376.111001,4214070,2,0
2,Payment,1766626376.111018,4212341,1,0
1,NewOrder,1766626376.111027,4223967,3,0
1,NewOrder,1766626376.114137,4226010,1,0
1,NewOrder,1766626376.114149,4228069,2,0
2,Payment,1766626376.114160,4223949,0,0
1,NewOrder,1766626376.115615,4242682,3,0
2,Payment,1766626376.116786,4236696,0,0
3,OrderStatus,1766626376.116805,4229730,1,0
2,Payment,1766626376.119693,4235659,2,0
1,NewOrder,1766626376.119720,4242551,1,0
1,NewOrder,1766626376.119758,4264415,0,0
2,Payment,1766626376.121772,4250724,2,0
2,Payment,1766626376.121804,4248951,3,0
2,Payment,1766626376.123709,4251345,1,0
1,NewOrder,1766626376.123733,4269776,3,0
5,StockLevel,1766626376.127782,4248263,2,0
2,Payment,1766626376.127811,4263802,1,0
1,NewOrder,1766626376.127821,4268286,2,0
1,NewOrder,1766626376.127828,4287062,0,0
1,NewOrder,1766626376.130761,4288961,1,0
1,NewOrder,1766626376.130779,4284039,3,0
4,Delivery,1766626376.130795,4348778,2,0
2,Payment,1766626376.132783,4294516,3,0
2,Payment,1766626376.132806,4299249,0,0
1,NewOrder,1766626376.134724,4306992,1,0
1,NewOrder,1766626376.134763,4309725,3,0
1,NewOrder,1766626376.137369,4321830,0,0
2,Payment,1766626376.137383,4319295,1,0
2,Payment,1766626376.140393,4319430,3,0
2,Payment,1766626376.140406,4329735,1,0
1,NewOrder,1766626376.140419,4342141,0,0
1,NewOrder,1766626376.143403,4339411,3,0
2,Payment,1766626376.143427,4339697,1,0
2,Payment,1766626376.143443,4356378,2,0
4,Delivery,1766626376.145521,4429257,0,0
1,NewOrder,1766626376.145539,4359225,3,0
1,NewOrder,1766626376.147085,4360873,1,0
1,NewOrder,1766626376.147101,4384993,2,0
2,Payment,1766626376.149283,4369306,3,0
1,NewOrder,1766626376.149329,4389515,1,0
1,NewOrder,1766626376.152171,4397517,3,0
2,Payment,1766626376.152202,4394173,2,0
4,Delivery,1766626376.152220,4471998,1,0
2,Payment,1766626376.154260,4412658,2,0
2,Payment,1766626376.154287,4420284,3,0
1,NewOrder,1766626376.156284,4438863,2,0
1,NewOrder,1766626376.156320,4446731,3,0
2,Payment,1766626376.158114,4433552,0,0
2,Payment,1766626376.158130,4453440,0,0
2,Payment,1766626376.160073,4455657,2,0
2,Payment,1766626376.160087,4455636,3,0
1,NewOrder,1766626376.163098,4472550,0,0
2,Payment,1766626376.163121,4468846,3,0
2,Payment,1766626376.163130,4468913,2,0
1,NewOrder,1766626376.168226,4480672,1,0
2,Payment,1766626376.168237,4489689,3,0
2,Payment,1766626376.168243,4489633,2,0
1,NewOrder,1766626376.168265,4497211,0,0
1,NewOrder,1766626376.168301,4518189,1,0
2,Payment,1766626376.170127,4509341,2,0
1,NewOrder,1766626376.170136,4516258,3,0
1,NewOrder,1766626376.172143,4517640,0,0
1,NewOrder,1766626376.172157,4527803,2,0
1,NewOrder,1766626376.174146,4552038,3,0
2,Payment,1766626376.174156,4522852,1,0
2,Payment,1766626376.176131,4523996,0,0
1,NewOrder,1766626376.176144,4560403,1,0
3,OrderStatus,1766626376.178320,4524826,2,0
2,Payment,1766626376.178343,4550276,0,0
4,Delivery,1766626376.179783,4621044,2,0
1,NewOrder,1766626376.179798,4568980,3,0
2,Payment,1766626376.182855,4558944,0,0
